Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
142,72.33333333,97.87989553,1,86.12091712,376.4401106,65216.22222,98.83333333,0.101505397,94.44444444,100,2.874544258,22.21476264,0
143,51.33333333,97.94478861,1,117.1884188,384.6406964,66913.33333,119.1111111,0.098648443,91.80555556,100,2.51310381,17.6479928,0
144,52.33333333,97.99221039,1,108.0804881,422.2269066,62108.44444,90.75,0.096467306,89.75,100,2.252679672,16.47850626,0
145,53.66666667,97.99861654,1,452.8002572,453.2491785,55105.77778,122.1666667,0.099328744,90.86111111,97.22222222,2.457195925,17.14963624,0
146,71.66666667,98.01912435,1.333333333,191.3855806,356.9709333,62051.77778,108.5,0.098458673,92.97222222,100,2.809857142,22.50788777,0
147,43.33333333,98.05412038,1,137.1062214,367.3181315,62002.44444,107.7777778,0.09866838,92.41666667,100,2.424789069,13.79586251,0
148,29.66666667,97.79262543,1,145.3033129,401.1697349,66926.66667,111.1111111,0.102944285,101.9722222,100,2.438690063,15.11065492,0
149,59.66666667,97.90312195,1,159.7702848,397.7790166,66026.88889,177,0.105625215,121.3055556,100,2.112576037,18.60250404,0
150,55,97.66647339,1,120.3815671,368.6668925,63570.88889,82.75,0.106438796,120.75,100,2.039355887,14.35421062,0
151,53,97.8358434,1,107.5554709,399.8552952,63996.22222,104.3055556,0.109280215,121.0277778,97.22222222,2.22995967,21.89984229,0
152,47.5,98.03562164,1,268.7632178,430.0542405,65288,89.91666667,0.100406603,121.625,100,1.853515074,22.36753371,0
153,48.33333333,98.05281321,1,433.6911895,504.4541214,68432.44444,93.86111111,0.098836399,120.3888889,100,1.652271658,24.92288538,0
154,63,97.8654658,48.66666667,155.8200587,393.4711896,69568.44444,133.5555556,0.100985513,121.2222222,100,2.155520943,22.99128181,2
155,67.33333333,97.85671743,1,350.1649766,383.569765,67861.11111,111.5,0.099866434,121.8333333,100,2.139418621,23.71824078,0
156,71,97.9913915,1,114.5796555,447.285218,68465.11111,165.6666667,0.104943543,122.8055556,100,1.860609219,31.72410603,0
157,67.33333333,97.96869914,1,194.7943287,417.884924,59979.11111,135.8611111,0.101767436,121.4444444,100,1.962937465,13.00942159,0
158,62,97.95387014,4.333333333,136.9642428,424.5179452,58096.66667,113.5,0.102129854,123.6111111,100,2.119965264,32.76842352,0
159,63.33333333,98.03368886,1,145.5059479,399.5939093,61228.22222,128.9166667,0.101843414,121.9722222,100,2.110043438,19.18052574,0
160,54.66666667,98.06473796,1,128.7032549,373.7345271,59286.22222,130,0.105669424,125.6944444,100,2.388251366,36.98445226,2
161,71,98.08940125,1,170.3377044,390.2178797,54590.22222,98.44444444,0.099687133,125.8888889,100,2.396411864,31.67351682,0
162,58.33333333,98.00047557,1,286.1762646,372.5036271,59721.77778,109.8611111,0.102893612,125.7222222,100,2.363930742,19.80729134,0
